item_id,campaign_name,platform,placement,objective,funnel_stage,target_region,audience_type,primary_text,caption,headline,description,CTA,creative_prompt,landing_page,compliance_status,risk_level,review_notes,human_approval,landing_page_checked,approval_status,human_approved,can_publish_automatically,dry_run,format,hook,hashtags
sample-community-awareness-ig-caption-01,Sample Community Awareness,Instagram,Reel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram reel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Reel,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-02,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Carousel,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-03,Sample Community Awareness,Instagram,Static post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram static post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Static post,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-04,Sample Community Awareness,Instagram,Story,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram story for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Story,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-05,Sample Community Awareness,Instagram,Educational post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram educational post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Educational post,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-06,Sample Community Awareness,Instagram,Reel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram reel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Reel,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-07,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Carousel,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-08,Sample Community Awareness,Instagram,Static post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram static post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Static post,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-09,Sample Community Awareness,Instagram,Story,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram story for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Story,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-ig-caption-10,Sample Community Awareness,Instagram,Educational post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"A beginner-friendly look at Weekly wellness community event

Example Brand is sharing a practical, clear starting point for People interested in beginner-friendly wellness, social activities, and community events.

Learn More.",Example Brand | Weekly wellness community event,A mobile-friendly caption draft for human review.,Learn More,"Instagram educational post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,Educational post,A beginner-friendly look at Weekly wellness community event,#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
